key,translation
home,Acasă
shop,Magazin
products,Produse
categories,Categorii
cart,Coș
checkout,Finalizare cumpărături
account,Cont
admin,Administrator
login,Autentificare
logout,Deconectare
register,Înregistrare
email,Email
password,Parolă
confirmPassword,Confirmă parola
name,Nume
firstName,Prenume
lastName,Nume de familie
address,Adresă
city,Oraș
state,Județ
zipCode,Cod Poștal
country,Țară
Country,Țară
phone,Telefon
price,Preț
quantity,Cantitate
Quantity,Cantitate
total,Total
Total,Total
subtotal,Subtotal
shipping,Livrare
Shipping,Livrare
tax,Impozit
discount,Reducere
add,Adaugă
remove,Elimină
Remove,Elimină
update,Actualizează
save,Salvează
Save,Salvează
cancel,Anulare
submit,Trimite
delete,Șterge
edit,Editare
view,Vizualizează
search,Căutare
filter,Filtru
sort,Sortare
back,Înapoi
next,Următorul
previous,Anterior
loading,Se încarcă...
error,Eroare
success,Succes
warning,Avertisment
info,Informație
yes,Da
no,Nu
description,Descriere
details,Detalii
summary,Sumar
order,Comandă
orders,Comenzi
customer,Client
customers,Clienți
product,Produs
Product,Produs
category,Categorie
brand,Marcă
price.from,Preț de la
price.to,Preț până la
inStock,În stoc
outOfStock,Stoc epuizat
addToCart,Adaugă în coș
continueShopping,Continuă cumpărăturile
proceedToCheckout,Procedează la cumpărare
viewCart,Vizualizează coșul
emptyCart,Coșul este gol
myAccount,Contul meu
myOrders,Comenzile mele
myAddress,Adresele mele
mySettings,Setările mele
profile,Profil
settings,Setări
helpCategory.general,General
helpCategory.products,Produse
helpCategory.orders,Comenzi
helpCategory.shipping,Livrare
helpCategory.returns,Returnări
helpCategory.payment,Plată
footer.company,Companie
footer.support,Suport
footer.policies,Politici
footer.contact,Contact
footer.social,Social Media
footer.followUs,Urmărește-ne
footer.newsletter,Newsletter
footer.language,Limbă
footer.currency,Monedă
message.itemAdded,Articol adăugat în coș
message.itemRemoved,Articol eliminat din coș
message.saved,Salvat cu succes
message.deleted,Șters cu succes
message.updated,Actualizat cu succes
message.error,A apărut o eroare
message.required,Acest câmp este obligatoriu
message.invalidEmail,Email invalid
message.passwordMismatch,Parolele nu se potrivesc
message.confirmDelete,Sigur dorești să ștergi acest element?
breadcrumb.home,Acasă
breadcrumb.products,Produse
breadcrumb.cart,Coș
breadcrumb.checkout,Cumpărare
breadcrumb.account,Cont
breadcrumb.orders,Comenzi
pagination.showing,Afișare
pagination.of,din
pagination.results,rezultate
filter.priceRange,Interval de preț
filter.category,Categorie
filter.brand,Marcă
filter.availability,Disponibilitate
filter.rating,Evaluare
sort.recommended,Recomandat
sort.newest,Cel mai nou
sort.bestSelling,Cel mai vândut
sort.priceLowest,Preț: crescător
sort.priceHighest,Preț: descrescător
sort.rating,Evaluare
sort.name,Nume
Company Information,Informații companie
Legal information for Romanian consumers,Informații legale pentru consumatorii din România
Legal Company Name,Denumire legală companie
Legal Form,Formă juridică
CUI / CIF,CUI / CIF
Trade Register Number,Număr registrul comerțului
Registered Office,Sediu social
Contact Email,Email contact
Contact Phone,Telefon contact
Romanian legal footer information,Informații legale footer România
Complete the legal footer fields from the admin store settings to publish company information here.,Completează câmpurile legale din setările magazinului pentru a publica aici informațiile companiei.
ANPC Complaints,Reclamații ANPC
Direct consumers to the official ANPC electronic complaint portal.,Direcționează consumatorii către portalul oficial ANPC pentru reclamații electronice.
ANPC SAL,ANPC SAL
Alternative dispute resolution for consumer disputes handled through ANPC.,Soluționare alternativă a litigiilor pentru disputele consumatorilor gestionate prin ANPC.
"Your privacy, served with care.","Confidențialitatea ta, tratată cu grijă."
"We use essential cookies to keep checkout, security, and language preferences working. You can accept analytics and marketing cookies, reject non-essential cookies, or fine-tune your choices.","Folosim cookie-uri esențiale pentru a menține funcționale checkout-ul, securitatea și preferințele de limbă. Poți accepta cookie-urile de analiză și marketing, poți respinge cookie-urile neesențiale sau îți poți ajusta alegerile."
Cookie Policy,Politica de cookie
No non-essential cookies will be set unless you choose them.,Niciun cookie neesențial nu va fi setat dacă nu îl alegi.
Selected preferences saved.,Preferințele selectate au fost salvate.
Manage cookies,Gestionează cookie-urile
Cookie preferences,Preferințe cookie
Privacy choices,Opțiuni de confidențialitate
Accept all cookies,Acceptă toate cookie-urile
Reject non-essential,Respinge cookie-urile neesențiale
Hide customization,Ascunde personalizarea
Customize,Personalizează
Close,Închide
Choose which optional cookies can help us improve Printel. Essential cookies stay on because the store cannot function without them.,Alege ce cookie-uri opționale ne pot ajuta să îmbunătățim Printel. Cookie-urile esențiale rămân active deoarece magazinul nu poate funcționa fără ele.
Essential cookies,Cookie-uri esențiale
"Needed for cart, checkout, security, and your consent selection.","Necesare pentru coș, checkout, securitate și memorarea alegerii tale privind consimțământul."
Always active,Mereu active
Preferences cookies,Cookie-uri de preferințe
"Remember your language, region, and other shopping choices.","Memorează limba, regiunea și alte alegeri de cumpărare."
Analytics cookies,Cookie-uri de analiză
"Help us understand visits, navigation paths, and store performance so we can improve the shopping experience.","Ne ajută să înțelegem vizitele, traseele de navigare și performanța magazinului pentru a îmbunătăți experiența de cumpărare."
Advertising and measurement cookies,Cookie-uri de publicitate și măsurare
"Measure campaign performance, limit ad frequency, detect invalid traffic, and understand which ads lead to visits or sales.","Ne ajută să măsurăm performanța campaniilor, să limităm frecvența reclamelor, să detectăm traficul invalid și să înțelegem ce reclame aduc vizite sau vânzări."
Personalized ads cookies,Cookie-uri pentru reclame personalizate
"Allow advertising partners such as Google to personalize ads and show more relevant promotions, only if you consent.","Permit partenerilor publicitari, precum Google, să personalizeze reclamele și să afișeze promoții mai relevante, doar dacă îți dai acordul."
Save preferences,Salvează preferințele
What stays on,Ce rămâne activ
Reject is as easy as accept,Respingerea este la fel de simplă ca acceptarea
You can refuse optional cookies immediately without losing access to the shop.,Poți refuza imediat cookie-urile opționale fără să pierzi accesul la magazin.
Change your mind anytime,Îți poți schimba oricând alegerea
Use the manage cookies button later to review or update your preferences.,Folosește ulterior butonul de gestionare a cookie-urilor pentru a revizui sau actualiza preferințele.
sample.theme.everywhere.title,Peste tot
sample.theme.everywhere.description,Această componentă este afișată pe fiecare pagină din magazin.
sample.theme.everywhere.modifyPrefix,Poți modifica această componentă în
sample.theme.everywhere.removeHint,Poți elimina această componentă dezactivând tema `sample`.
sample.theme.homeOnly.title,Doar pe pagina principală
sample.theme.homeOnly.description,Această componentă este afișată doar pe pagina principală.
sample.theme.homeOnly.modifyPrefix,Poți modifica această componentă în
sample.theme.homeOnly.removeHint,Poți elimina această componentă dezactivând tema `sample`.
sample.extension.freeShipping.banner,"🚚 Livrare gratuită pentru comenzile de peste 250 RON!"
sample.extension.freeShipping.noMinimum,"✨ Fără comandă minimă"
sample.extension.fooList.title,Listă Foo
sample.extension.fooList.modifyPrefix,Poți modifica această componentă în
sample.extension.foo.description.foo,Acesta este un obiect Foo
sample.extension.foo.description.bar,Acesta este un obiect Bar
sample.extension.foo.description.baz,Acesta este un obiect Baz
Home,Acasă
Featured Products,Produse recomandate
Featured products displayed on the homepage,Produse recomandate afișate pe pagina principală
About Us,Despre noi
About us,Despre noi
Premium Quality Products,Produse premium
Discover our exquisite collection of ceramic and stainless steel products,Descoperă colecția noastră rafinată de produse din ceramică și oțel inoxidabil
Shop Now,Cumpără acum
Crafted With Care,Realizate cu grijă
Elegant designs that enhance your daily life, from morning coffee to home organization,"Designuri elegante care îți îmbunătățesc viața de zi cu zi, de la cafeaua de dimineață până la organizarea casei"
View Collection,Vezi colecția
Previous slide,Slide anterior
Next slide,Slide următor
Go to slide,Mergi la slide
Shopping cart with ${count} items,Coș de cumpărături cu ${count} produse
© 2022 Evershop. All Rights Reserved.,© 2022 Printel. Toate drepturile rezervate.
Login,Autentificare
Welcome Back!,Bine ai revenit!
Please sign in to your account,Autentifică-te în contul tău
Sign In,Autentificare
Signing In...,Se autentifică...
Create an account,Creează un cont
Forgot your password?,Ai uitat parola?
Email,Email
Password,Parolă
Email is required,Emailul este obligatoriu
Password is required,Parola este obligatorie
Go to Login,Mergi la autentificare
Invalid email or password,Email sau parolă invalidă
Join us for exclusive offers and order tracking,Alătură-te pentru oferte exclusive și urmărirea comenzilor
Already have an account?,Ai deja un cont?
Full Name,Nume complet
Full Name is required,Numele complet este obligatoriu
Sign Up,Înregistrare
Signing Up...,Se creează contul...
Reset password,Resetează parola
Reset Password,Resetează parola
Reset Your Password,Resetează-ți parola
Please enter your email to receive a reset link,Introdu adresa de email pentru a primi un link de resetare
Enter your new password,Introdu noua parolă
Your password has been updated successfully.,Parola a fost actualizată cu succes.
"We have sent you an email with a link to reset your password. Please check your inbox.","Ți-am trimis un email cu un link pentru resetarea parolei. Verifică inboxul."
UPDATE PASSWORD,ACTUALIZEAZĂ PAROLA
Shopping cart,Coș de cumpărături
